,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,26060,0,26060.0,9.258835354552694e-06,0.0,1.0350000000000006,35360.309891464625,0.0,35360.309891464625,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.017718872343275155,-1,0.0,0.0,9424.840000000002,3977.96,7997.55,3536.0,2.225,51251.924975158334,3094.78,3094.78,0,13045.97,3536.0,180.75,3536.0
1,Ampara,PF,10,521411,helped,a,2,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,44754,0,44754.0,1.1845692249654598e-05,0.0,0.7150000000000004,46404.556871934285,0.0,46404.556871934285,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.07337016687080923,-1,0.0,0.0,22166.420000000013,3166.459999999997,7997.77,13457.0,1.731,145653.3232322608,7233.92,7233.92,0,23302.77,13457.0,186.63,13457.0
2,Ampara,PF,25,521411,helped,a,2,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,26751,0,26751.0,1.3119363867739837e-05,0.0,1.0350000000000006,36297.91442465733,0.0,36297.91442465733,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.02008307888320563,-1,0.0,0.0,9674.730000000001,3496.670000000002,7997.89,3993.0,2.133,74606.90967441739,3176.83,3176.83,0,13391.87,3993.0,178.54,3993.0
3,Ampara,PF,50,521411,helped,a,2,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,45815,0,45815.0,1.4644154611305987e-05,0.0,0.7150000000000004,47504.68724779169,0.0,47504.68724779169,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.07825664922290314,-1,0.0,0.0,22691.930000000008,2732.2399999999957,7998.0,14251.0,1.684,184541.36892408357,7405.41,7405.41,0,23855.21,14251.0,181.9,14251.0
4,Ampara,PF,100,521411,helped,a,2,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,45031,0,45031.0,1.5090884417126846e-05,0.0,0.7150000000000004,46691.77281360488,0.0,46691.77281360488,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.07675363592040885,-1,0.0,0.0,22303.660000000003,2830.629999999996,7998.07,14008.0,1.684,194834.41634852643,7278.7,7278.7,0,23447.03,14008.0,178.77,14008.0
5,Ampara,PF,250,521411,helped,a,2,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,28362,0,28362.0,1.6145159957619814e-05,0.0,0.9650000000000006,36498.50916123252,0.0,36498.50916123252,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.024011969632682845,-1,0.0,0.0,10987.799999999996,4058.3699999999985,7998.22,4745.0,2.114,102950.35191889346,3603.14,3603.14,0,14405.36,4745.0,183.57,4745.0
6,Ampara,PF,500,521411,helped,a,2,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7950000000000005,40144,0,40144.0,1.8299207439378607e-05,0.0,0.7950000000000005,44836.05704846338,0.0,44836.05704846338,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.05990927152602129,-1,0.0,0.0,18379.93,2609.6799999999926,7998.36,11209.0,1.744,192315.56345454103,6007.46,6007.46,0,20845.05,11209.0,182.61,11209.0
7,Ampara,PF,1000,521411,helped,a,2,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,30602,0,30602.0,2.0038181216762513e-05,0.0,0.9650000000000006,39381.121830337695,0.0,39381.121830337695,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.032297621374983265,-1,0.0,0.0,11855.610000000006,3409.0400000000004,7998.47,6301.0,1.899,132145.06928131846,3887.71,3887.71,0,15543.09,6301.0,175.31,6301.0
8,Ampara,PF,5,521421,helped,a,2,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20918,0,20918.0,9.258835354552694e-06,0.0,1.0350000000000006,28383.229559081232,0.0,28383.229559081232,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.010778117903579633,-1,0.0,0.0,7565.190000000007,4745.86,6263.36,1703.0,2.718,51424.00977340548,2484.14,2484.14,0,10471.82,1703.0,166.96,1703.0
9,Ampara,PF,10,521421,helped,a,2,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.6450000000000004,39881,0,39881.0,1.1845692249654598e-05,0.0,0.646,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.0678303456144375,-1,0.0,0.0,22532.88999999999,3456.5000000000064,6263.53,9823.0,2.612,184830.79888021166,7343.74,7343.74,0,22082.3,9823.0,233.57,9823.0
