,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,ARMM,EQ,1,153829114,helped,a,0.757768211060495,202556.04127608586,822.4791037502216,243302.08999999997,22302.6775,939313.916536356,0.4550000000000002,165261,18894,184155.0,3.2340897940263686e-07,4877.40007639546,0.4550000000000002,117855.13208152785,4877.40007639546,122732.5321579233,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.004054684583948998,0.25719523098381775,-1,0.0,0.0,4913.6400000000185,0.30000000003204197,30382.37,0.0,3.23,3762.696983506769,1281.82,1279.6,2.22,3537.21,3521.64,0.0,28228.0
1,ARMM,EQ,1,153893114,helped,a,0.6104073259992125,64055.99846989873,0.0,98041.71899999998,22302.6775,379792.5554130422,0.6150000000000003,47744,5458,53202.0,3.2340897940263686e-07,1408.9578499505885,0.6150000000000003,41687.45622353261,1408.9578499505885,43096.414073483196,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.006387406222212574,0.05788591543030853,-1,0.0,0.0,412.3699999999954,0.09999999999448435,30381.52,0.0,4.871,256.2313101114754,108.36,107.72,0.64,364.99,364.99,0.0,2155.0
2,ARMM,EQ,1,156627419,helped,a,1.325638805923116,54179.25679093233,0.0,116599.21,22302.6775,451680.2885212769,0.4950000000000002,72673,8308,80981.0,3.2340897940263686e-07,2144.672374017862,0.4950000000000002,54733.3390728214,2144.672374017862,56878.011446839264,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.00585709396839272,0.15611255715491415,-1,0.0,0.0,1586.3299999999913,0.10999999999235979,30381.63,0.0,3.972,2128.056648916013,414.4,413.43,0.97,1207.16,1201.45,-0.0,7963.0
3,ARMM,EQ,1,156642019,helped,a,0.559559422309283,17723.054010602886,0.0,21066.311,22302.6775,81606.36277517617,0.165,32920,3763,36683.0,3.2340897940263686e-07,971.4013172158418,0.166,13592.929543745195,971.4013172158418,14564.330860961036,2,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.013779572685382054,0.2656205814398577,-1,7.726396917148325,7.726396917148325,9136.410000000034,0.11999999998364609,30381.06,0.0,10.0,5129.6997523095415,2366.52,2366.08,0.44,3888.02,3881.79,0.0,0.0
4,ARMM,EQ,1,157025015,helped,a,2.191437232211682,13719.49946384411,1370.7984756648525,26179.942999999992,22302.6775,96105.29571098939,0.6450000000000004,11218,1282,12500.0,3.2340897940263686e-07,330.94246310675237,0.6450000000000004,10131.489555008473,330.94246310675237,10462.432018115225,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.01236077346849235,0.0,-1,0.0,0.0,76.84999999999941,20057.429999999993,30381.09,0.0,10.0,171.79280196225446,20.24,20.09,0.15,70.43,0.0,1.35,0.0
5,ARMM,EQ,1,157260118,helped,a,1.8919547291627385,15971.575618886436,0.0,23040.299,22302.6775,89253.16818129802,0.3350000000000001,21588,2468,24056.0,3.2340897940263686e-07,637.1029632975545,0.3350000000000001,12804.823910724315,637.1029632975545,13441.92687402187,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.013176071421869688,0.0,-1,6.050096339113666,0.0,1622.2100000000057,5182.149999999995,30381.07,0.0,10.0,3091.135935921264,421.77,421.48,0.29,968.73,0.0,18.61,0.0
6,ARMM,EQ,1,157260240,helped,a,1.8919547291627385,14777.319904494298,0.0,18463.852,22302.6775,71524.99574031551,0.2550000000000001,21986,2513,24499.0,3.2340897940263686e-07,648.7195084144062,0.2550000000000001,11282.015798646693,648.7195084144062,11930.735307061099,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.014718679224862096,0.0,-1,7.726396917148325,7.726396917148325,3065.380000000005,2645.2099999999864,30381.05,0.0,10.0,5830.289935074145,795.5,795.21,0.29,1581.02,0.0,30.39,0.0
7,ARMM,EQ,1,157260362,helped,a,1.1129145687105542,18888.916513407694,0.0,25606.149999999998,22302.6775,99192.7236892865,0.2250000000000001,33755,3859,37614.0,3.2340897940263686e-07,996.183280131792,0.2250000000000001,16308.574564873968,996.183280131792,17304.75784500576,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.012498498805629706,0.24737506116585462,-1,4.335260115606946,0.0,5933.9499999999725,2561.1399999999976,30381.09,2077.0,9.423,6634.6225886731645,1538.93,1538.48,0.45,2879.87,2077.0,15.35,2077.0
8,ARMM,EQ,1,157260484,helped,a,1.3354974071622578,17636.373318933318,0.0,25441.725,22302.6775,98555.77656554432,0.2350000000000001,31701,3624,35325.0,3.2340897940263686e-07,935.5191000771222,0.2350000000000001,15633.203816651452,935.5191000771222,16568.722916728573,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.012538821464144605,0.19609115044076492,-1,4.104046242774579,0.0,5158.480000000002,2391.640000000034,30381.09,1657.0,9.798,6922.600692194486,1338.11,1337.68,0.43,2555.85,1657.0,17.21,1657.0
9,ARMM,EQ,1,157640114,helped,a,0.7497528996921894,25157.71522539576,0.0,32336.270999999997,22302.6775,125263.7664953493,0.6450000000000004,15006,1715,16721.0,3.2340897940263686e-07,442.71944167556967,0.6450000000000004,13552.600578299478,442.71944167556967,13995.320019975048,1,15573.959716184301,1538.5808249715756,9071.979577145335,0,0,0.011122054727009103,0.0,-1,0.0,0.0,102.77999999999724,16571.44999999998,30381.13,0.0,10.0,78.61127850918379,27.07,26.87,0.2,94.2,0.0,1.8,0.0
