,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,1,5.065581348701985,5.065581348701985,0.0,42252.66402108329,8610.108335066852,0.0,8610.108335066852,0.0,0.0,2828.8277638590325,0.0,2828.8277638590325,21723.56535641877,0.0,21723.56535641877,2.1944831420536395,1,36346.798828125,1.1030426022910118,23962.018061783034,0,0,0.0,0.00972977836352264,0.007503092367338265,-1,0.09633911368015413,0.09633911368015413,False,6969.35262277728,2203.619514995053,3521.055335090274,5905.865192958292,2388.655748568743,0.0,2388.655748568743,18343.32932211857,5905.865192958292,232.27491295387185,1.9622337250025042e-05
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,93914.60573751283,37233.094412897175,0.0,37233.094412897175,0.0,0.0,12232.832283958753,0.0,12232.832283958753,51380.612460146,0.0,51380.612460146,1.0514242985570077,1,36346.798828125,1.205213383564542,61924.60179271103,0,0,0.0,0.006526245786778746,0.015398939800276498,-1,0.0,0.0,True,33646.35453724666,5447.871332079833,7826.217144792736,24176.8104080632,11280.650127427252,0.0,11280.650127427252,47381.23592652295,24176.8104080632,437.91348838839826,1.9622337250025042e-05
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,1,3.0393488092211913,3.0393488092211913,0.0,189890.06322699296,58877.982920567185,0.0,58877.982920567185,0.0,0.0,19344.20175497422,0.0,19344.20175497422,101082.04377993297,0.0,101082.04377993297,1.388258190421231,1,36346.798828125,1.1588112164455406,117135.00611342551,0,0,0.0,0.004589642686662065,0.012865727289276097,-1,0.0,0.0,True,51507.305539557005,10778.830468763397,15824.171935582746,42243.39891557158,17381.351398442926,0.0,17381.351398442926,90825.27908188416,42243.39891557158,912.8691578696017,1.9622337250025042e-05
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,1,4.052465078961589,4.052465078961589,0.0,185510.6888011759,78894.05580908769,0.0,78894.05580908769,0.0,0.0,25920.428267695934,0.0,25920.428267695934,102407.55842504543,0.0,102407.55842504543,0.9694916730157388,1,36346.798828125,1.2209141835282895,125030.84058163995,0,0,0.0,0.004643500821149795,0.01613857195319464,-1,0.0,0.0,True,71859.00377880623,10815.476828456127,15459.224066764657,49568.51100184126,24054.24333952178,0.0,24054.24333952178,95034.55362395917,49568.51100184126,859.0350944734695,1.9622337250025042e-05
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,119899.00962193316,48547.575057080176,0.0,48547.575057080176,0.0,0.0,15950.17424231194,0.0,15950.17424231194,65769.93188170761,0.0,65769.93188170761,1.0262048635965797,1,36346.798828125,1.2098031292447373,79568.66940070309,0,0,0.0,0.005775933677332381,0.015620181174944105,-1,0.0,0.0,True,43977.60729005194,6966.0966156762515,9991.584135161096,31218.78605403801,14737.257628773996,0.0,14737.257628773996,60768.51673484592,31218.78605403801,557.8591720752243,1.9622337250025042e-05
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,111920.58600889788,53428.783936902604,0.0,53428.783936902604,0.0,0.0,17553.88219383677,0.0,17553.88219383677,62781.19326592077,0.0,62781.19326592077,0.8464971077293423,1,36346.798828125,1.2495793000547615,78450.07953783197,0,0,0.0,0.005978262876591123,0.017379133313231057,-1,0.0,0.0,True,49244.55704650884,6571.540195205002,9326.71550074149,31690.738043252688,16445.21425607997,0.0,16445.21425607997,58816.059211843676,31690.738043252688,513.454118167497,1.9622337250025042e-05
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,93183.89750288204,47844.58533055098,0.0,47844.58533055098,0.0,0.0,15719.208872455416,0.0,15719.208872455416,52845.85871980619,0.0,52845.85871980619,0.7759843583312171,1,36346.798828125,1.26963750868541,67095.08440935587,0,0,0.0,0.006551783832808397,0.018178837327765946,-1,0.0,0.0,True,44398.26121950804,5491.648504381294,7765.324791906837,27318.099828172773,14806.66390533862,0.0,14806.66390533862,49778.00570003831,27318.099828172773,425.61897767788616,1.9622337250025042e-05
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,1,5.065581348701985,5.065581348701985,0.0,107344.88809052588,29693.02814871281,0.0,29693.02814871281,0.0,0.0,9755.563943142228,0.0,9755.563943142228,56527.3864408114,0.0,56527.3864408114,1.5751785996167162,1,36346.798828125,1.1411053565611429,64503.70346001161,0,0,0.0,0.006104348389754694,0.011710740899752653,-1,0.0,0.0,True,25512.307061778913,6019.8488556501,8945.407340877156,22080.006100574617,8640.295079389267,0.0,8640.295079389267,50065.101490992056,22080.006100574617,524.7202138133675,1.9622337250025042e-05
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,22499.999450683594,205349.94354133017,82596.93526411754,0.0,82596.93526411754,0.0,0.0,27137.482037005564,0.0,27137.482037005564,112549.71015905513,0.0,112549.71015905513,1.0340847132999507,1,36346.798828125,1.2083471569824213,135999.1222898898,0,0,0.0,0.004413495638762264,0.015550518561599197,-1,0.0,0.0,True,74764.99332447903,11924.945971333542,17112.495295110846,53278.31165399523,25058.60944613526,0.0,25058.60944613526,103927.82909252329,53278.31165399523,956.0886607384157,1.9622337250025042e-05
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,173356.15172921692,58306.997594902874,0.0,58306.997594902874,0.0,0.0,19156.606073347673,0.0,19156.606073347673,93060.11797538096,0.0,93060.11797538096,1.267489580161367,1,36346.798828125,1.1728222622894007,109142.97809280481,0,0,0.0,0.004803528445287456,0.01369613043005112,-1,0.0,0.0,True,51604.727719377304,9918.037012180912,14446.345977434743,40598.91248741015,17373.75201861456,0.0,17373.75201861456,84399.2618701243,40598.91248741015,824.24082009924,1.9622337250025042e-05
