,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,1,5.065581348701985,5.065581348701985,0.0,42252.66402108329,8610.108335066852,0.0,8610.108335066852,0.0,0.0,2828.8277638590325,0.0,2828.8277638590325,21723.56535641877,0.0,21723.56535641877,2.1944831420536395,1,36346.798828125,1.1030426022910118,23962.018061783034,0,0,0.0,0.00972977836352264,0.01048386882491724,-1,0.13487475915221578,0.13487475915221578,False,6404.2159493895915,1781.4596682689094,3521.055335090274,5905.865192958292,2194.962440641876,0.0,2194.962440641876,16855.890147628084,5905.865192958292,204.2126563630351,1.877534972718015e-05
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,93914.60573751283,37233.094412897175,0.0,37233.094412897175,0.0,0.0,12232.832283958753,0.0,12232.832283958753,51380.612460146,0.0,51380.612460146,1.0514242985570077,1,36346.798828125,1.205213383564542,61924.60179271103,0,0,0.0,0.006526245786778746,0.021516523721827434,-1,0.0,0.0,True,32310.34318807323,4626.054405689661,7826.217144792736,24176.8104080632,10832.724139498492,0.0,10832.724139498492,45499.84729449083,24176.8104080632,402.0279494575998,1.877534972718015e-05
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,1,3.0393488092211913,3.0393488092211913,0.0,189890.06322699296,58877.982920567185,0.0,58877.982920567185,0.0,0.0,19344.20175497422,0.0,19344.20175497422,101082.04377993297,0.0,101082.04377993297,1.388258190421231,1,36346.798828125,1.1588112164455406,117135.00611342551,0,0,0.0,0.004589642686662065,0.017976934127198876,-1,0.0,0.0,True,48824.206626255334,9088.621938389024,15824.171935582746,42243.39891557158,16475.928671310347,0.0,16475.928671310347,86094.04328820105,42243.39891557158,822.9169612951551,1.877534972718015e-05
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,1,4.052465078961589,4.052465078961589,0.0,185510.6888011759,78894.05580908769,0.0,78894.05580908769,0.0,0.0,25920.428267695934,0.0,25920.428267695934,102407.55842504543,0.0,102407.55842504543,0.9694916730157388,1,36346.798828125,1.2209141835282895,125030.84058163995,0,0,0.0,0.004643500821149795,0.022549991802753605,-1,0.0,0.0,True,69223.88284009768,9197.504494008597,15459.224066764657,49568.51100184126,23172.15707398049,0.0,23172.15707398049,91549.56873708023,49568.51100184126,792.5102992441397,1.877534972718015e-05
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,119899.00962193316,48547.575057080176,0.0,48547.575057080176,0.0,0.0,15950.17424231194,0.0,15950.17424231194,65769.93188170761,0.0,65769.93188170761,1.0262048635965797,1,36346.798828125,1.2098031292447373,79568.66940070309,0,0,0.0,0.005775933677332381,0.021825658334211576,-1,0.0,0.0,True,42272.43050026518,5918.030581763298,9991.584135161096,31218.78605403801,14165.83887267951,0.0,14165.83887267951,58412.29340503627,31218.78605403801,512.9057690329223,1.877534972718015e-05
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,111920.58600889788,53428.783936902604,0.0,53428.783936902604,0.0,0.0,17553.88219383677,0.0,17553.88219383677,62781.19326592077,0.0,62781.19326592077,0.8464971077293423,1,36346.798828125,1.2495793000547615,78450.07953783197,0,0,0.0,0.005978262876591123,0.02428339476930893,-1,0.0,0.0,True,47664.10182380627,5598.892714008272,9326.71550074149,31690.738043252688,15917.421413209286,0.0,15917.421413209286,56928.416119179645,31690.738043252688,477.37834614761186,1.877534972718015e-05
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,93183.89750288204,47844.58533055098,0.0,47844.58533055098,0.0,0.0,15719.208872455416,0.0,15719.208872455416,52845.85871980619,0.0,52845.85871980619,0.7759843583312171,1,36346.798828125,1.26963750868541,67095.08440935587,0,0,0.0,0.006551783832808397,0.025400799644082945,-1,0.0,0.0,True,43090.2713470422,4682.583892893065,7765.324791906837,27318.099828172773,14370.4538849183,0.0,14370.4538849183,48311.52648353718,27318.099828172773,397.57330142155115,1.877534972718015e-05
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,1,5.065581348701985,5.065581348701985,0.0,107344.88809052588,29693.02814871281,0.0,29693.02814871281,0.0,0.0,9755.563943142228,0.0,9755.563943142228,56527.3864408114,0.0,56527.3864408114,1.5751785996167162,1,36346.798828125,1.1411053565611429,64503.70346001161,0,0,0.0,0.006104348389754694,0.016363102761475717,-1,0.0,0.0,True,24009.760652863388,5054.771906117886,8945.407340877156,22080.006100574617,8131.4252107384455,0.0,8131.4252107384455,47116.51913522465,22080.006100574617,468.7609364790598,1.877534972718015e-05
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,22499.999450683594,205349.94354133017,82596.93526411754,0.0,82596.93526411754,0.0,0.0,27137.482037005564,0.0,27137.482037005564,112549.71015905513,0.0,112549.71015905513,1.0340847132999507,1,36346.798828125,1.2083471569824213,135999.1222898898,0,0,0.0,0.004413495638762264,0.021728320641357338,-1,0.0,0.0,True,71844.25491144691,10129.33432602873,17112.495295110846,53278.31165399523,24079.678328357277,0.0,24079.678328357277,99867.82554787664,53278.31165399523,878.6354055031459,1.877534972718015e-05
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,173356.15172921692,58306.997594902874,0.0,58306.997594902874,0.0,0.0,19156.606073347673,0.0,19156.606073347673,93060.11797538096,0.0,93060.11797538096,1.267489580161367,1,36346.798828125,1.1728222622894007,109142.97809280481,0,0,0.0,0.004803528445287456,0.01913723406400654,-1,0.0,0.0,True,49144.73705724962,8384.89491384163,14446.345977434743,40598.91248741015,16545.54751835391,0.0,16545.54751835391,80375.96002809145,40598.91248741015,747.6594852562775,1.877534972718015e-05
