,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,26060,0,26060.0,1.7712150026199965e-05,0.0,1.0350000000000006,35360.309891464625,0.0,35360.309891464625,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.013462031532137509,-1,0.0,0.0,21778.450000000008,5228.93,7996.75,13437.0,0.935,118430.37598797774,7151.26,7151.26,0,30145.98,13437.0,316.19,13437.0
1,Ampara,PF,10,521411,helped,a,2,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,44754,0,44754.0,2.2260340843563297e-05,0.0,0.7150000000000004,46404.556871934285,0.0,46404.556871934285,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.02741582631113986,-1,0.0,0.0,39535.23,5208.600000000001,7996.77,24594.0,0.888,259782.044437841,12902.15,12902.15,0,41561.97,24594.0,321.44,24594.0
2,Ampara,PF,25,521411,helped,a,2,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,26751,0,26751.0,2.5109972592078028e-05,0.0,1.0350000000000006,36297.91442465733,0.0,36297.91442465733,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.014274418681146107,-1,0.0,0.0,22355.950000000004,5204.780000000001,7996.78,14156.0,0.91,172398.45928529842,7340.89,7340.89,0,30945.36,14156.0,317.59,14156.0
3,Ampara,PF,50,521411,helped,a,2,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,45815,0,45815.0,2.7669017387588614e-05,0.0,0.7150000000000004,47504.68724779169,0.0,47504.68724779169,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.028234304103698524,-1,0.0,0.0,40472.51,5130.26,7996.79,25177.0,0.888,329141.3444142473,13208.03,13208.03,0,42547.3,25177.0,329.07,25177.0
4,Ampara,PF,100,521411,helped,a,2,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,45031,0,45031.0,2.8807829568798746e-05,0.0,0.7150000000000004,46691.77281360488,0.0,46691.77281360488,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.027629652598556414,-1,0.0,0.0,39779.92999999999,5188.269999999999,7996.8,24747.0,0.888,347499.03138075926,12982.01,12982.01,0,41819.21,24747.0,323.42,24747.0
5,Ampara,PF,250,521411,helped,a,2,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,28362,0,28362.0,3.073416882900899e-05,0.0,0.9650000000000006,36498.50916123252,0.0,36498.50916123252,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.014780302810266667,-1,0.0,0.0,23991.730000000003,5215.509999999998,7996.81,14599.0,0.95,224790.89013660664,7867.4,7867.4,0,31453.92,14599.0,319.16,14599.0
6,Ampara,PF,500,521411,helped,a,2,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7950000000000005,40144,0,40144.0,3.474723540340955e-05,0.0,0.7950000000000005,44836.05704846338,0.0,44836.05704846338,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.024447230813363453,-1,0.0,0.0,34974.229999999996,5136.510000000001,7996.82,22418.0,0.872,365947.4908927348,11431.3,11431.3,0,39665.0,22418.0,326.49,22418.0
7,Ampara,PF,1000,521411,helped,a,2,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,30602,0,30602.0,3.77993043363077e-05,0.0,0.9650000000000006,39381.121830337695,0.0,39381.121830337695,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.017046434072741194,-1,0.0,0.0,25886.59,5091.8099999999995,7996.83,16540.0,0.899,288537.19220683817,8488.77,8488.77,0,33938.15,16540.0,329.18,16540.0
8,Ampara,PF,5,521421,helped,a,2,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20918,0,20918.0,1.7712150026199965e-05,0.0,1.0350000000000006,28383.229559081232,0.0,28383.229559081232,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.013839687468971443,-1,0.0,0.0,17481.290000000005,4142.759999999999,6262.73,10786.0,0.935,118828.19798110658,5740.23,5740.23,0,24197.8,10786.0,253.8,10786.0
9,Ampara,PF,10,521421,helped,a,2,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.6450000000000004,39881,0,39881.0,2.2260340843563297e-05,0.0,0.478,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.02445596407070791,-1,0.0,0.0,36884.38,4683.53,6262.75,17562.0,1.243,301574.1969529466,11982.22,11982.22,0,29776.09,17562.0,232.71,17562.0
