,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,521411,helped,a,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.86350575878,298482.23822773044,1.0350000000000006,26491,0,26491.0,1.8458568460626e-05,0.0,1.0350000000000006,35945.14363996173,0.0,35945.14363996173,1,45477.532103761216,500.0,50.0,0,0.006452423250034839,0.011321112235208524,-1,0.0,0.0,23039.49,5420.630000000001,8008.3,14378.0,0.885,125287.86124646188,7565.36,7565.36,0,31891.54,14378.0,331.36,14378.0
1,Ampara,PF,5.0,521421,helped,a,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.7396226009,233759.24517809914,0.9650000000000006,22473,0,22473.0,1.8458568460626e-05,0.0,0.9650000000000006,28920.08440643464,0.0,28920.08440643464,1,45477.532103761216,500.0,50.0,0,0.007291177913142125,0.012338154793735357,-1,0.0,0.0,19730.389999999996,4251.01,6271.78,12146.0,0.899,133935.6254328882,6470.03,6470.03,0,25867.19,12146.0,259.77,12146.0
2,Ampara,PF,5.0,521431,helped,a,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,106153.01613378567,329789.2799926544,0.9050000000000006,36981,0,36981.0,1.8458568460626e-05,0.0,0.9050000000000006,45371.29892112131,0.0,45371.29892112131,1,45477.532103761216,500.0,50.0,0,0.006138522139138441,0.015510498542603121,-1,0.0,0.0,32731.66,5900.34,8848.26,20871.0,0.858,177548.2273935365,10721.04,10721.04,0,40864.26,20871.0,378.4,20871.0
3,Ampara,PF,5.0,521441,helped,a,1.3326477057779957,0.0,0.0,0.0,0.0,52153.133146515145,114097.59696869811,354470.98654056026,1.2150000000000007,25613,0,25613.0,1.8458568460626e-05,0.0,1.2150000000000007,39364.141821386125,0.0,39364.141821386125,1,45477.532103761216,500.0,50.0,0,0.005920954814369124,0.008353389283886755,-1,0.0,0.0,21741.6,6363.119999999997,9510.48,12990.0,0.912,29660.180275464423,7163.98,7163.98,0,34205.72,12990.0,401.13,12990.0
4,Ampara,PF,5.0,521451,helped,a,1.3326477057779957,0.0,0.0,0.0,0.0,52153.133146515145,115579.38394231752,359074.5058462817,0.6750000000000004,58997,0,58997.0,1.8458568460626e-05,0.0,0.6750000000000004,58813.00855410599,0.0,58813.00855410599,1,45477.532103761216,500.0,50.0,0,0.005882877539578337,0.02448281252554376,-1,0.0,0.0,53863.12999999999,6491.7,9634.0,32935.0,0.859,72720.23984434304,17564.5,17564.5,0,54398.06,32935.0,406.76,32935.0
5,Ampara,PF,5.0,521471,helped,a,7.995886234667974,0.0,720.0,720.0,2.7877594928468792e-08,52153.133146515145,49717.95779459116,152220.96471851468,1.1150000000000009,11880,0,11880.0,1.8458568460626e-05,0.0,0.041,4290.425690829945,0.0,4290.425690829945,2,45477.532103761216,500.0,50.0,0,0.008969605760501797,0.004434079584012821,-1,0.13487475915221578,0.13487475915221578,11815.85,4047.0699999999997,4144.17,3132.0,8.015,94552.87394333338,3806.32,3806.32,0,4291.15,3132.0,22.3,3132.0
6,Ampara,PF,5.0,521471,helped,na,756.1688523611191,0.0,720.0,720.0,2.7877594928468792e-08,52153.133146515145,49717.95779459116,152220.96471851468,0.0,0,0,0.0,1.8458568460626e-05,0.0,0.0,0.014609388394824816,0.0,0.014609388394824816,0,45477.532103761216,500.0,50.0,0,0.008969605760501797,0.0,-1,0.13487475915221578,0.13487475915221578,0.0,4203.16,4144.17,0.0,10.0,0.0,0.01,0.01,0,0.01,0.0,0.0,0.0
7,Ampara,PF,5.0,521481,helped,a,5.330590823111983,0.0,1050.0,1050.0,4.065482593735031e-08,52153.133146515145,115980.86811557523,357055.80042100244,0.7550000000000004,49825,0,49825.0,1.8458568460626e-05,0.0,0.7550000000000004,53655.63418751024,0.0,53655.63418751024,1,45477.532103761216,500.0,50.0,0,0.005872686506321973,0.019778691808209882,-1,0.0,0.0,45001.08000000001,6635.2,9667.44,27901.0,0.866,243397.44227870472,14697.28,14697.28,0,49170.96,27901.0,402.97,27901.0
8,Ampara,PF,5.0,521481,helped,na,504.11256824074604,0.0,1050.0,1050.0,4.065482593735031e-08,52153.133146515145,115980.86811557523,357055.80042100244,0.0,0,0,0.0,1.8458568460626e-05,0.0,0.0,0.02130535807578619,0.0,0.02130535807578619,0,45477.532103761216,500.0,50.0,0,0.005872686506321973,0.0,-1,0.0,0.0,0.0,9752.57,9667.44,0.0,10.0,0.0,0.02,0.02,0,0.02,0.0,0.0,0.0
9,Ampara,PF,5.0,522211,helped,a,6.195368639664273,0.0,75.0,0.0,0.0,52153.133146515145,284422.00113435223,883390.4708798284,1.1150000000000009,74270,0,74270.0,1.8458568460626e-05,0.0,1.1150000000000009,106717.17881749503,0.0,106717.17881749503,1,45477.532103761216,500.0,50.0,0,0.0037501479504966095,0.01072018923022423,-1,0.0,0.0,63900.159999999996,15807.97,23707.68,40553.0,0.868,404482.1125800459,21014.93,21014.93,0,93810.85,40553.0,1006.88,40553.0
10,Ampara,PF,5.0,522211,helped,na,585.8943782738215,0.0,75.0,0.0,0.0,52153.133146515145,284422.00113435223,883390.4708798284,0.0,0,0,0.0,1.8458568460626e-05,0.0,0.0,0.001521811291127585,0.0,0.001521811291127585,0,45477.532103761216,500.0,50.0,0,0.0037501479504966095,0.0,-1,0.0,0.0,0.0,23701.83,23707.68,0.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
