region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,200,243302.09000000003,19076.814322769995,0.0
ARMM,PF,200,98041.719,10743.925671103425,0.0
ARMM,PF,200,116599.21000000002,16528.11823697066,0.0
ARMM,PF,200,21066.311000000005,5826.366701618418,5492.349734989874
ARMM,PF,200,26179.943,1692.406062546664,0.0
ARMM,PF,200,23040.299000000006,4235.487495041142,4997.057326734875
ARMM,PF,200,18463.852000000006,6737.4979675300965,6082.982173061132
ARMM,PF,200,25606.15000000001,7854.576191498449,10032.188195829991
ARMM,PF,200,25441.725,11898.354477216772,10742.486086449184
ARMM,PF,200,32336.27100000001,2596.562026159274,0.0
ARMM,PF,200,28000.33800000001,2797.442036944087,1168.6795648844388
ARMM,PF,200,24290.74000000001,7800.226444293829,8716.778210277804
ARMM,PF,200,14660.443000000005,5006.135932889119,4519.813702719197
ARMM,PF,200,25692.90800000001,1892.7378659501792,0.0
ARMM,PF,200,28644.793000000005,10720.821430739676,13070.830433894644
ARMM,PF,200,21983.363000000005,8313.092987210892,7505.515651048316
ARMM,PF,200,41782.48800000001,9599.19367028291,0.0
ARMM,PF,200,75756.96100000001,7231.48583719497,0.0
ARMM,PF,200,17893.768000000004,3703.907651837108,3344.0906884680553
ARMM,PF,200,20441.686,3446.4608292792122,2490.8440638526104
ARMM,PF,200,20354.516000000007,1398.9698614722672,0.0
ARMM,PF,200,29381.92200000001,6269.739869164254,0.0
ARMM,PF,200,14467.27099999999,1724.3635618218302,1556.7914062002906
ARMM,PF,200,9765.75679999997,645.0336771002311,0.0
ARMM,PF,200,14189.76599999998,1364.143776072036,1231.5321275488966
ARMM,PF,200,26386.826,2192.8323309532993,0.0
ARMM,PF,200,24692.90000000001,9196.80967450355,9118.937839023423
ARMM,PF,200,12662.072000000002,1133.8796214195806,1023.72862399855
ARMM,PF,200,16819.752000000008,1161.789954647592,0.0
ARMM,PF,200,14568.435,991.1290242625487,0.0
ARMM,PF,200,19211.766000000003,1582.4482560567535,0.0
ARMM,PF,200,16270.782000000007,5417.29535873275,4891.030951280346
ARMM,PF,200,15593.180000000002,5866.662916917912,5296.7445943516805
ARMM,PF,200,16000.623,4816.350329466469,4348.46486552662
ARMM,PF,200,13540.620999999996,4539.408295669535,4098.397199706096
ARMM,PF,200,11936.803999999998,825.4098367062265,0.0
ARMM,PF,200,21340.802999999967,3251.6143899585563,1707.7237599722675
ARMM,PF,200,217936.58,24818.84192019865,0.0
ARMM,PF,200,18579.625,3436.388317620565,3102.512814032857
ARMM,PF,200,28168.06600000001,12173.841413230492,12594.103047632856
ARMM,PF,200,40491.92200000001,10836.77310331089,4145.396190159643
ARMM,PF,200,47652.73400000001,17834.401019746958,15670.88151817126
ARMM,PF,200,32448.801,5726.894075653123,0.0
ARMM,PF,200,27148.196999999996,2618.9569285242887,0.0
ARMM,PF,200,17948.328,2228.835688313122,2374.3676912789497
ARMM,PF,200,20872.67799999999,1320.9830569215956,5170.321220790778
ARMM,PF,200,15453.292999999969,4165.885457326074,3761.049250473851
ARMM,PF,200,236120.69000000012,21052.686605604442,0.0
ARMM,PF,200,78659.79700000005,11763.41892572091,0.0
ARMM,PF,200,50589.066,4545.0758010309555,0.0
ARMM,PF,200,140935.58000000005,11632.386269355151,0.0
ARMM,PF,200,24142.43600000001,8055.961957510712,8568.474142295512
ARMM,PF,200,20699.721,9572.187561556992,8642.270138377451
