,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.0350000000000006,27868,0,27868.0,3.295929786127574e-07,0.0,1.0350000000000006,37802.73311703022,0.0,37802.73311703022,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.06539568487666077,-1,0.0,0.0,1.2699999999983977,0.09000000001074598,7998.76,0.0,2.049,6.929768070037037,0.42,0.42,0,1.77,1.77,0.0,4536.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7150000000000004,43289,0,43289.0,4.0047163975863214e-07,0.0,0.7150000000000004,44868.72402982348,0.0,44868.72402982348,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.19008625813504867,-1,0.0,0.0,43.57000000000061,0.09000000000321556,7999.28,0.0,1.78,286.26559807212203,14.2,14.2,0,45.78,45.78,0.0,12563.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.6750000000000004,48576,0,48576.0,4.030920295815003e-07,0.0,0.6750000000000004,48405.61990142312,0.0,48405.61990142312,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.23732999230364993,-1,0.0,0.0,71.90999999999896,0.0999999999954058,7999.68,0.0,1.688,550.6923654232419,23.42,23.42,0,72.59,72.59,0.0,15490.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7550000000000004,43256,0,43256.0,5.128849429092657e-07,0.0,0.7550000000000004,46564.759777173065,0.0,46564.759777173065,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.18903325761724984,-1,0.0,0.0,29.570000000008232,0.09000000000857195,7999.81,0.0,1.686,240.63593046220103,9.64,9.64,0,32.29,32.29,0.0,13038.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.1150000000000009,24295,0,24295.0,4.7442540303772684e-07,0.0,1.1150000000000009,34899.58539824348,0.0,34899.58539824348,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.040465610705939827,-1,0.0,0.0,0.5400000000129841,0.09999999999303692,8000.05,0.0,2.265,4.7388091829372545,0.18,0.18,0,0.79,0.79,0.0,2792.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.0350000000000006,25789,0,25789.0,6.122751465979476e-07,0.0,1.0350000000000006,34982.58520005355,0.0,34982.58520005355,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.052427777201400266,-1,0.0,0.0,1.1799999999947508,0.09000000000916147,8000.25,0.0,2.225,11.03629729669098,0.39,0.39,0,1.63,1.63,0.0,3498.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.6750000000000004,48508,0,48508.0,7.275459840653182e-07,0.0,0.6750000000000004,48337.85841111316,0.0,48337.85841111316,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.2365467175452525,-1,0.0,0.0,71.79000000000832,0.09000000000049618,8000.78,0.0,1.688,749.4310289981145,23.38,23.38,0,72.47,72.47,0.0,15468.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7550000000000004,40498,0,40498.0,7.777483740866655e-07,0.0,0.7550000000000004,43595.79344960132,0.0,43595.79344960132,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.1669780466975096,-1,0.0,0.0,27.670000000030857,0.09999999999735802,8000.99,0.0,1.784,307.21971777235825,9.03,9.03,0,30.23,30.23,0.0,11335.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.7550000000000004,32860,0,32860.0,3.295929786127574e-07,0.0,0.757,29675.31309219934,0.0,29675.31309219934,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.1579883758562897,-1,0.0,0.0,22.649999999998023,0.09999999999759716,6264.3,0.0,2.384,153.12122139387853,7.39,7.39,0,24.79,24.79,0.0,7419.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,1.0350000000000006,20058,0,20058.0,4.0047163975863214e-07,0.0,1.0350000000000006,27208.526656430033,0.0,27208.526656430033,1,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.02963751803027314,-1,0.0,0.0,0.9399999999977677,0.09000000000049418,6264.71,0.0,2.894,7.777195329086323,0.31,0.31,0,1.3,1.3,0.0,1360.0
10,Ampara,PF,25,521421,helped,a,2,2.0,9.449079708703666,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.6750000000000004,36754,0,36754.0,4.030920295815003e-07,0.0,0.685,29675.31309219934,0.0,29675.31309219934,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.2023961530616691,-1,0.0,0.0,51.629999999987675,0.09999999999591784,6265.03,0.0,2.548,494.3758503592593,16.82,16.82,0,52.66,52.66,0.0,8606.0
11,Ampara,PF,50,521421,helped,a,2,2.0,10.026497102588957,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.9050000000000006,25555,0,25555.0,5.128849429092657e-07,0.0,0.92,29675.313092199343,0.0,29675.313092199343,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.08088611643769629,-1,0.0,0.0,3.570000000004234,0.09000000000573055,6265.13,0.0,2.341,36.39618448244036,1.17,1.17,0,4.51,4.51,0.0,4155.0
12,Ampara,PF,100,521421,helped,a,2,2.0,10.770020870057687,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.6450000000000004,39238,0,39238.0,4.7442540303772684e-07,0.0,0.654,29675.313092199347,0.0,29675.313092199347,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.23457423676892641,-1,0.0,0.0,75.54999999999963,0.09000000000369585,6265.32,0.0,2.55,824.0142967681096,24.6,24.6,0,74.64,74.64,0.0,9793.0
13,Ampara,PF,250,521421,helped,a,2,2.0,11.496143017436724,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.8450000000000005,27344,0,27344.0,6.122751465979476e-07,0.0,0.85,29675.31309219935,0.0,29675.31309219935,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.10048199028091528,-1,0.0,0.0,7.499999999989727,0.09000000000887537,6265.47,0.0,2.32,87.60060979274974,2.45,2.45,0,8.93,8.93,0.0,5045.0
14,Ampara,PF,500,521421,helped,a,2,2.0,12.880362797298721,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.9650000000000006,23152,0,23152.0,7.275459840653182e-07,0.0,0.984,29675.313092199336,0.0,29675.313092199336,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.05636613554434072,-1,0.0,0.0,1.7400000000009126,0.09000000000159508,6265.89,0.0,2.508,22.79824215123049,0.57,0.57,0,2.31,2.31,0.0,2671.0
