,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,ARMM,EQ,1,153829114,helped,a,0.9321750945914897,202556.04127608586,822.4791037502216,243302.09000000003,22302.6775,760591.1790441405,0.5850000000000003,131692,15056,146748.0,3.516889991087883e-06,4799.915016424437,0.5850000000000003,119023.77670748683,4799.915016424437,123823.69172391127,1,15573.959716184301,500.0,50.0,0,0.004054684583948997,0.00624153866503287,-1,0.0,0.0,128756.43000000001,28096.949999999997,30381.27,63150.0,1.151,135151.42974222268,46221.83,41513.38,4708.45,122398.15,63150.0,1128.34,63150.0
1,ARMM,EQ,1,153893114,helped,a,0.7508978320116265,64055.99846989873,0.0,98041.71899999998,22302.6775,307529.6367150249,0.6150000000000003,48523,5547,54070.0,3.516889991087883e-06,1768.4065220580737,0.6150000000000003,45310.977913254734,1768.4065220580737,47079.38443531281,1,15573.959716184301,500.0,50.0,0,0.006387406222212574,0.002542196386285382,-1,0.0,0.0,47386.55,29041.85,30381.08,11770.0,2.254,40092.46538482194,17021.82,15287.11,1734.71,46511.94,11770.0,664.11,11770.0
2,ARMM,EQ,1,156627419,helped,a,1.6307460002526792,54179.25679093233,0.0,116599.21000000004,22302.6775,365739.33074917743,0.8450000000000005,37955,4339,42294.0,3.516889991087883e-06,1383.2911301983022,0.8450000000000005,44172.1858427464,1383.2911301983022,45555.47697294471,1,15573.959716184301,500.0,50.0,0,0.005857093968392719,0.0011801716268506962,-1,0.0,0.0,36739.0,28917.1,30381.11,6833.0,2.245,67836.36547752602,13261.73,11904.8,1356.93,44815.76,6833.0,724.85,6833.0
3,ARMM,EQ,1,156642019,helped,a,0.6883468451265947,17723.054010602886,0.0,21066.311000000005,22302.6775,66079.16542911426,0.3150000000000001,20604,2355,22959.0,3.516889991087883e-06,750.7837316471541,0.024,7068.640342614846,750.7837316471541,7819.424074262,3,15573.959716184301,500.0,50.0,0,0.013779572685382052,0.0,-1,0.038535645472061654,0.038535645472061654,20584.95,30080.239999999998,30380.97,0.0,10.0,15766.303606607671,7302.08,6565.6,736.48,7796.35,0.0,150.18,0.0
4,ARMM,EQ,1,157025015,helped,a,2.6958153950128607,13719.49946384411,1370.7984756648525,26179.943,22302.6775,77819.3944434954,0.6150000000000003,12835,1467,14302.0,3.516889991087883e-06,467.68566213434184,0.483,10188.297621681355,467.68566213434184,10655.983283815696,2,15573.959716184301,500.0,50.0,0,0.012360773468492348,0.0,-1,0.038535645472061654,0.0,12600.26,29972.19,30380.97,0.0,10.0,38164.966188766295,4513.35,4054.58,458.77,10656.18,0.0,204.37,0.0
5,ARMM,EQ,1,157260118,helped,a,2.327404413220095,15971.575618886436,0.0,23040.299000000003,22302.6775,72271.01741530617,0.4050000000000002,18402,2104,20506.0,3.516889991087883e-06,670.7638944312578,0.054,6845.575389384442,670.7638944312578,7516.3392838157,2,15573.959716184301,500.0,50.0,0,0.013176071421869688,0.0,-1,0.038535645472061654,0.0,18364.100000000002,30091.609999999997,30380.97,0.0,10.0,47588.72926357311,6518.63,5860.65,657.98,7511.32,0.0,144.65,0.0
6,ARMM,EQ,1,157260240,helped,a,2.327404413220095,14777.319904494298,0.0,18463.852,22302.6775,57915.97450387407,0.3050000000000001,18664,2134,20798.0,3.516889991087883e-06,680.3280184012854,0.027,6450.160325886405,680.3280184012854,7130.488344287691,3,15573.959716184301,500.0,50.0,0,0.014718679224862096,0.0,-1,0.038535645472061654,0.038535645472061654,18644.59,30106.399999999998,30380.96,0.0,10.0,48288.11034497082,6614.42,5947.06,667.36,7118.09,0.0,137.11,0.0
7,ARMM,EQ,1,157260362,helped,a,1.3690614467821567,18888.916513407694,0.0,25606.15,22302.6775,80319.37921417347,0.3250000000000001,24361,2785,27146.0,3.516889991087883e-06,887.8695085508808,0.06,9194.32077526482,887.8695085508808,10082.1902838157,2,15573.959716184301,500.0,50.0,0,0.012498498805629704,0.0,-1,0.038535645472061654,0.0,24305.21,29992.339999999997,30380.97,0.0,10.0,37053.98711139021,8628.51,7757.56,870.95,10088.51,0.0,194.27,0.0
8,ARMM,EQ,1,157260484,helped,a,1.6428736435194449,17636.373318933318,0.0,25441.725000000002,22302.6775,79803.62366610044,0.2350000000000001,30788,3520,34308.0,3.516889991087883e-06,1122.190545816553,0.016,10315.341626306828,1122.190545816553,11437.532172123381,3,15573.959716184301,500.0,50.0,0,0.012538821464144603,0.0,-1,0.038535645472061654,0.0,30769.019999999997,29941.01,30380.97,0.0,10.0,56237.91598153912,10913.13,9812.32,1100.81,11405.59,0.0,219.73,0.0
9,ARMM,EQ,1,157640114,helped,a,0.9223149902431247,25157.71522539576,0.0,32336.271000000004,22302.6775,101429.89917739607,0.7950000000000005,11536,1319,12855.0,3.516889991087883e-06,420.50265054887313,0.7950000000000005,12848.844470607892,420.50265054887313,13269.347121156765,1,15573.959716184301,500.0,50.0,0,0.011122054727009103,0.0,-1,0.0,0.0,11187.939999999999,29877.379999999997,30380.99,0.0,10.0,11671.439175833366,4034.31,3621.82,412.49,13066.02,0.0,249.84,0.0
