,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,1,5.065581348701985,5.065581348701985,0.0,42252.66402108329,8728.230501455053,0.0,8728.230501455053,0.0,0.0,2867.636481566476,0.0,2867.636481566476,5905.865192958292,0.0,5905.865192958292,0.34809217181939955,2,36346.798828125,1.68112260362596,9928.483469849978,0.0,0,0.0,0.00972977836352264,0.0019929493264051815,-1.0,0.13487475915221578,0.13487475915221578,False,8327.920704965227,7272.341491267234,3521.055335090274,1225.6827932538383,2754.5285295959197,0.0,2754.5285295959197,5672.920633602984,1225.6827932538383,85.32285593067373,1.856253478599941e-05
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,93914.60573751283,33840.22315781482,0.0,33840.22315781482,0.0,0.0,11118.11362629837,0.0,11118.11362629837,57567.80690938783,0.0,57567.80690938783,1.372617818342096,1,36346.798828125,1.1940229969432277,68737.2853333963,0.0,0,0.0,0.006526245786778746,0.02324210371242175,-1.0,0.0,0.0,True,28121.056336812937,4197.670946610254,7826.217144792736,25650.091642833246,9486.706431698503,0.0,9486.706431698503,49120.64244192236,25650.091642833246,439.82049905367984,1.856253478599941e-05
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,1,3.0393488092211913,3.0393488092211913,0.0,189890.06322699296,41894.28352326462,0.0,41894.28352326462,0.0,0.0,13764.253336386479,0.0,13764.253336386479,153543.26439886796,0.0,153543.26439886796,3.3364697831593135,1,36346.798828125,1.0818381497068552,166108.96105722178,0.0,0,0.0,0.004589642686662065,0.0214823617164335,-1.0,0.0,0.0,True,26712.82608487799,5720.121900038775,15824.171935582746,48729.271610620475,9359.162812813292,0.0,9359.162812813292,104403.51359422947,48729.271610620475,1009.424751885325,1.856253478599941e-05
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,1,4.052465078961589,4.052465078961589,0.0,185510.6888011759,38052.431410037076,0.0,38052.431410037076,0.0,0.0,12502.023234324217,0.0,12502.023234324217,149163.8899730509,0.0,149163.8899730509,3.591409580799597,1,36346.798828125,1.076124246387099,160518.87868541753,0.0,0,0.0,0.004643500821149795,0.019678568097695144,-1.0,0.0,0.0,True,23443.059488250634,5496.114885238664,15459.224066764657,44357.81044711014,8254.005774286747,0.0,8254.005774286747,98480.02887823671,44357.81044711014,978.6537509038509,1.856253478599941e-05
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,119899.00962193316,30138.832405738875,0.0,30138.832405738875,0.0,0.0,9902.031723853619,0.0,9902.031723853619,83552.21079380816,0.0,83552.21079380816,2.4436971571576365,1,36346.798828125,1.1110201374772346,92828.18872266363,0.0,0,0.0,0.005775933677332381,0.020595733880803168,-1.0,0.0,0.0,True,21676.340970603946,4403.282627501351,9991.584135161096,29745.705878303208,7465.04619249871,0.0,7465.04619249871,62989.205695902456,29745.705878303208,612.4005385403569,1.856253478599941e-05
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,111920.58600889788,44302.535711352044,0.0,44302.535711352044,0.0,0.0,14555.478067472639,0.0,14555.478067472639,75573.7871807729,0.0,75573.7871807729,1.377309631007531,1,36346.798828125,1.1933896472913466,90188.97522813386,0.0,0,0.0,0.005978262876591123,0.027562049014861065,-1.0,0.0,0.0,True,36791.89624483307,4724.7975206039255,9326.71550074149,34849.59272260095,12412.957358574602,0.0,12412.957358574602,64449.562793633,34849.59272260095,553.9944412083048,1.856253478599941e-05
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,93183.89750288204,19497.64583723347,0.0,19497.64583723347,0.0,0.0,6405.8987097318895,0.0,6405.8987097318895,56837.09867475705,0.0,56837.09867475705,2.5865276447231262,1,36346.798828125,1.105028490121093,62806.61333143036,0.0,0,0.0,0.006551783832808397,0.014881024981348377,-1.0,0.0,0.0,True,13755.468289888036,3674.452095716847,7765.324791906837,17651.12165680405,4750.2569072409215,0.0,4750.2569072409215,42147.21974250489,17651.12165680405,452.0826466613389,1.856253478599941e-05
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,1,5.065581348701985,5.065581348701985,0.0,107344.88809052588,43908.954599984434,0.0,43908.954599984434,0.0,0.0,14426.168059765454,0.0,14426.168059765454,70998.08926240088,0.0,70998.08926240088,1.288391439013114,1,36346.798828125,1.2061425151085512,85633.81395085363,0.0,0,0.0,0.006104348389754694,0.027380141106811272,-1.0,0.0,0.0,True,36904.99070911267,4641.124620083802,8945.407340877156,33258.50305786041,12429.799768042592,0.0,12429.799768042592,61173.0037934693,33258.50305786041,523.3420119364348,1.856253478599941e-05
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,22499.999450683594,205349.94354133017,68852.22914496087,0.0,68852.22914496087,0.0,0.0,22621.700649181385,0.0,22621.700649181385,169003.14471320517,0.0,169003.14471320517,2.1260233093664054,1,36346.798828125,1.12715363161867,190492.50831846485,0.0,0,0.0,0.004413495638762264,0.03172161528605768,-1.0,0.0,0.0,True,51687.48691773892,6862.323028739529,17112.495295110846,70933.96505257204,17692.285095387673,0.0,17692.285095387673,132176.02504681182,70933.96505257204,1128.5439642611207,1.856253478599941e-05
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,173356.15172921692,70268.07795614684,0.0,70268.07795614684,0.0,0.0,23086.38661673885,0.0,23086.38661673885,137009.35290109192,0.0,137009.35290109192,1.6212620239228763,1,36346.798828125,1.165328663012585,159660.92603644886,0.0,0,0.0,0.004803528445287456,0.034092718653222345,-1.0,0.0,0.0,True,56466.65503528122,6352.394876961005,14446.345977434743,63053.4416602541,19140.643078800706,0.0,19140.643078800706,113592.79240502001,63053.4416602541,939.9511604414613,1.856253478599941e-05
