,region,hazard,rp,index,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcsoc,c,pov_line,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,ARMM,EQ,1,0,153829114,helped,a,Maguindanao,0.9376180350922879,0,822.4791037502216,243302.09000000003,22302.6775,760591.1790441403,142353.59305945708,16275.762792237392,158629.35585169448,0.21869459692111673,45382.916632273256,5188.780435057305,50571.69706733056,164515.43895367137,5188.780435057305,169704.21938872867,0.8368775228008457,1,15573.959716184301,0,0,0.0,0.004054684583948997,0.0,-1,0.0,0.0,True,2486.7765321278334,63093.813352243174,261405.04988353286,0.0,805.6831022101919,42.27309213836638,847.9561943485583,2962.913373779723,0.0,56.63107998328958,1.4386270311018858e-06
1,ARMM,EQ,1,1,153893114,helped,a,Maguindanao,0.7552823003862174,0,0.0,98041.71900000001,22302.6775,307529.6367150249,25201.950223118558,2881.4233270665027,28083.37355018506,0.10152369391108236,8034.485874012259,918.6096636731029,8953.095537685362,63102.87577199069,918.6096636731029,64021.485435663795,2.185084464116687,1,15573.959716184301,0,0,0.0,0.006387406222212573,0.0,-1,0.0,0.0,True,0.6486382009658556,75556.02990058812,105336.55385202407,0.0,0.215680584948304,7.483930267945123,7.699610852893427,9.177886218810032,0.0,0.17316698379077863,1.4386270311018858e-06
2,ARMM,EQ,1,2,156627419,helped,a,Sulu,1.6402678738822034,0,0.0,116599.21000000002,22302.6775,365739.33074917726,29296.48035569665,3349.5646626749062,32646.04501837156,0.12101382355727948,9339.839000245256,1067.8550559815367,10407.694056226792,74980.0473296822,1067.8550559815367,76047.90238566374,2.240549292354613,1,15573.959716184301,0,0,0.0,0.00585709396839272,0.0,-1,0.0,0.0,True,0.5766184523515684,97957.02163767045,132469.79121574652,0.0,0.19193809982238527,8.699835295965716,8.891773395788102,10.240710658878697,0.0,0.19311771121350166,1.4386270311018858e-06
3,ARMM,EQ,1,3,156642019,helped,a,Sulu,0.6923660802935437,1,0.0,21066.311000000005,22302.6775,66079.16542911425,25926.07591005482,2964.2150407074646,28890.290950762286,0.013510833412757946,8265.340135336915,945.0040041048755,9210.344139441791,8265.340135336915,945.0040041048755,9210.344139441791,0.0,3,15573.959716184301,0,0,0.0,0.013779572685382052,0.8014099166177724,-1,4.836223506743741,4.836223506743741,False,25926.07591005482,1.4210854715202004e-14,12574.005061753056,0.0,8265.340135336915,7.698965457614198,8273.039100794529,8273.039100794529,8273.039100794529,0.0,1.4386270311018858e-06
4,ARMM,EQ,1,4,157025015,helped,a,Tawi-tawi,2.7115561747025616,0,1370.7984756648525,26179.943,22302.6775,77819.39444349539,13269.616959653575,1517.1597241593054,14786.776683812881,0.02289994548280446,4230.413575047091,483.6767894730768,4714.090364520168,10122.306494342622,483.6767894730768,10605.983283815698,1.0206154879043023,2,15573.959716184301,0,0,0.0,0.012360773468492348,0.0,-1,0.3660886319845858,0.0,True,127.28242155972926,29852.49530411971,48606.252784684366,0.0,41.38600289494274,3.9405239328379484,45.32652682778069,177.81283591322068,0.0,3.3925990774821337,1.4386270311018858e-06
5,ARMM,EQ,1,5,157260118,helped,a,Basilan,2.340994052994802,0,0.0,23040.299000000003,22302.6775,72271.01741530614,14563.13087169611,1665.051499480144,16228.182371176254,0.02036053574841792,4642.786301621201,530.8252985836085,5173.61160020481,6935.513985232092,530.8252985836085,7466.339283815701,0.7645588513242265,2,15573.959716184301,0,0,0.0,0.013176071421869688,0.39423448434647795,-1,3.564547206165714,4.12331406551061,True,856.0799814038511,0.13353442700726958,7487.9830212591705,0.0,276.9721119996846,4.324643726450704,281.2967557261353,945.5336909528813,938.5002581804758,0.0019845088772285635,1.4386270311018858e-06
6,ARMM,EQ,1,6,157260240,helped,a,Basilan,2.340994052994802,1,0.0,18463.852000000006,22302.6775,57915.97450387407,22714.19543824295,2596.989995292591,25311.185433535542,0.011845420969754945,7241.379368359613,827.9311421299814,8069.310510489595,7241.379368359613,827.9311421299814,8069.310510489595,0.0,3,15573.959716184301,0,0,0.0,0.014718679224862093,0.6297809970469113,-1,4.836223506743741,4.836223506743741,False,22714.19543824295,0.0,15893.588264003305,0.0,7241.379368359613,6.745170641450948,7248.1245390010645,7248.1245390010645,7248.1245390010645,0.0,1.4386270311018858e-06
7,ARMM,EQ,1,7,157260362,helped,a,Basilan,1.3770553526910434,0,0.0,25606.150000000012,22302.6775,80319.37921417347,24862.19242255012,2842.577680462033,27704.770103012153,0.01911505063677257,7926.1696831982445,906.2255110124021,8832.395194210647,9125.964772803309,906.2255110124021,10032.190283815711,0.4187346654990962,2,15573.959716184301,0,0,0.0,0.012498498805629702,0.8557399177492767,-1,4.1425818882466405,4.258188824662824,True,7711.312497189836,0.44502356135024,8321.868370777878,0.0,2478.313135624889,7.383036342477718,2485.696171967367,5740.847271325989,5717.5631115191945,0.0036115023644924804,1.4386270311018858e-06
8,ARMM,EQ,1,8,157260484,helped,a,Basilan,1.6524663300693085,0,0.0,25441.725000000002,22302.6775,79803.62366610041,31441.040521313185,3594.759404859443,35035.79992617263,0.01626428918019459,10023.533643083232,1146.024153016598,11169.55779609983,10023.533643083232,1146.024153016598,11169.55779609983,0.0,3,15573.959716184301,0,0,0.0,0.012538821464144603,0.9934210294088146,-1,4.836223506743741,3.949903660886334,True,31441.040521313185,1.4210854715202004e-14,8268.42835496533,0.0,10023.533643083232,9.336680404887646,10032.87032348812,10032.87032348812,10032.87032348812,0.0,1.4386270311018858e-06
9,ARMM,EQ,1,9,157640114,helped,a,Basilan,0.9277003579106523,0,0.0,32336.271000000008,22302.6775,101429.89917739606,7821.67334262669,894.2780946160409,8715.951437242731,0.03368326470018698,2493.5817833980313,285.09955201959286,2778.6813354176243,16477.211731796117,285.09955201959286,16762.31128381571,2.339470086141608,2,15573.959716184301,0,0,0.0,0.011122054727009101,0.0,-1,0.0,0.0,True,0.09928109800760314,1302.8514319539306,10509.132972081814,0.0,0.03311059512119363,2.32271143132271,2.355822026443904,2.598796439144316,0.0,0.048961355899658256,1.4386270311018858e-06
