,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,1.0,1,5.065581348701985,5.065581348701985,0.0,42252.35749276265,8173.69294296939,0.0,8173.69294296939,0.0,0.0,2.1549603871115472e-05,2755.4673015994904,0.0,2755.4673015994904,5723.824670497022,0.0,5723.824670497022,0.3631598825168454,2,36346.798828125,1.656869457793974,9483.630278314173,0.0,0,0.0,0.009729813656786613,0.0,0.0,245.43414861428963,3434.93658466177,3521.029791063554,0.0,83.32029909264573,0.0,83.32029909264573,173.07800503487726,0.0,3.3231960609773328
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,93913.92441984807,35139.80367688059,0.0,35139.80367688059,0.0,0.0,2.1549603871115472e-05,11846.123984820779,0.0,11846.123984820779,50420.615826098074,0.0,50420.615826098074,1.0977435217333464,1,36346.798828125,1.2400884110954433,62526.02136623972,0.0,0,0.0,0.00652626945972449,0.23157961211322797,0.0,342.06228262576184,0.09931014784946157,7826.160368320673,0.0,115.31402530804613,0.0,115.31402530804613,490.8106800897972,490.8106800897972,0.0
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,0.0,1,3.0393488092211913,3.0393488092211913,0.0,189888.6856409037,38735.1089114469,0.0,38735.1089114469,0.0,0.0,2.1549603871115472e-05,13058.152144214537,0.0,13058.152144214537,146395.3770471537,0.0,146395.3770471537,3.4422834645376637,1,36346.798828125,1.0793655925922305,158014.13289926408,0.0,0,0.0,0.004589659334880023,0.09894290403841072,0.0,41.8041238672061,0.09875860949430537,15824.057136741976,0.0,14.09276041953374,0.0,14.09276041953374,157.9944047571016,157.9944047571016,0.0
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,0.0,1,4.052465078961589,4.052465078961589,0.0,185509.34298591863,62155.79222725053,0.0,62155.79222725053,0.0,0.0,2.1549603871115472e-05,20953.59518423275,0.0,20953.59518423275,142016.03439216863,0.0,142016.03439216863,1.9477257849970628,1,36346.798828125,1.1384456008216326,161677.52959989806,0.0,0,0.0,0.004643517664729793,0.1999476183423173,0.0,122.44709424244185,0.09989678822030346,15459.111915493218,0.0,41.278644391839286,0.0,41.278644391839286,279.7720071458087,279.7720071458087,0.0
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,119898.13979649333,28905.440091564058,0.0,28905.440091564058,0.0,0.0,2.1549603871115472e-05,9744.431992537358,0.0,9744.431992537358,76404.83120274333,0.0,76404.83120274333,2.306154101063507,1,36346.798828125,1.1174736685425806,85380.38701850621,0.0,0,0.0,0.005775954628637163,0.11700034200020971,0.0,89.59425504144454,0.09989326757475414,9991.511649707778,0.0,30.20348842321202,0.0,30.20348842321202,236.82164711876914,236.82164711876914,0.0
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,111919.77406413488,55151.27806052459,0.0,55151.27806052459,0.0,0.0,2.1549603871115472e-05,18592.274556620327,0.0,18592.274556620327,75391.24124186927,0.0,75391.24124186927,1.02987580129904,2,36346.798828125,1.2550389707319825,94618.94581040219,0.0,0,0.0,0.005978284561813737,0.34535234661001907,0.0,378.84442754706475,0.09835092952088331,9326.647838677907,0.0,127.7138057158142,0.0,127.7138057158142,517.8765141035237,517.8765141035237,0.0
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,93183.22148625033,23804.31386371606,0.0,23804.31386371606,0.0,0.0,2.1549603871115472e-05,8024.770314488026,0.0,8024.770314488026,49689.91289250033,0.0,49689.91289250033,1.7503189890938537,1,36346.798828125,1.1535424443225522,57319.42357618953,0.0,0,0.0,0.006551807598389447,0.12702202947372085,0.0,146.22870373095517,0.09806842962158857,7765.268457187528,0.0,49.29576074086631,0.0,49.29576074086631,305.2426376317364,305.2426376317364,0.0
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,0.0,1,5.065581348701985,5.065581348701985,0.0,107344.10934085319,42491.06212444009,0.0,42491.06212444009,0.0,0.0,2.1549603871115472e-05,14324.337005445755,0.0,14324.337005445755,63850.80074710319,0.0,63850.80074710319,1.1655736822161173,1,36346.798828125,1.2268005641948718,78332.19838084053,0.0,0,0.0,0.006104370532332978,0.24845774045255228,0.0,303.7710428119417,0.09802686074528921,8945.342445071099,0.0,102.40550770396354,0.0,102.40550770396354,456.4730406249082,456.4730406249082,0.0
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,1874.9999542236328,205348.45379920868,76265.8673836718,0.0,76265.8673836718,0.0,0.0,2.1549603871115472e-05,25710.34115574302,0.0,25710.34115574302,161855.14520545868,0.0,161855.14520545868,1.7851341461155885,1,36346.798828125,1.1506453084585586,186237.8634805398,0.0,0,0.0,0.004413511648034089,0.22991670354701285,0.0,140.833329803191,0.09791391633545832,17112.371149934057,0.0,47.47690669034212,0.0,47.47690669034212,298.88329263317655,298.88329263317655,0.0
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,173354.8940908811,63276.02236757765,0.0,63276.02236757765,0.0,0.0,2.1549603871115472e-05,21331.240581909777,0.0,21331.240581909777,129861.5854971311,0.0,129861.5854971311,1.7151891167361333,1,36346.798828125,1.1565809524001935,150195.43623447107,0.0,0,0.0,0.004803545869342874,0.21941617382719653,0.0,154.55237695170007,0.09988344060702659,14446.241174240093,0.0,52.10178851178838,0.0,52.10178851178838,317.1883434250447,317.1883434250447,0.0
