,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,521411,helped,a,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.86350575878,298482.23822773044,1.0350000000000006,26491,0,26491.0,1.330734459983804e-06,0.0,1.0350000000000006,35945.14363996173,0.0,35945.14363996173,1,45477.532103761216,500.0,50.0,0,0.006452423250034839,0.13429482373749202,-1,0.0,0.0,481.1300000000061,0.13000000000015444,8006.75,0.0,0.885,2616.3605877998557,157.99,157.99,0,665.99,659.24,0.0,14378.0
1,Ampara,PF,5.0,521421,helped,a,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.7396226009,233759.24517809914,0.9650000000000006,22473,0,22473.0,1.330734459983804e-06,0.0,0.9650000000000006,28920.08440643464,0.0,28920.08440643464,1,45477.532103761216,500.0,50.0,0,0.007291177913142125,0.0518529349358194,-1,0.0,0.0,535.2699999999976,0.12000000000197987,6270.57,0.0,2.495,3633.597234574267,175.53,175.53,0,701.76,695.01,0.01,2603.0
2,Ampara,PF,5.0,521431,helped,a,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,106153.01613378567,329789.2799926544,0.9050000000000006,36981,0,36981.0,1.330734459983804e-06,0.0,0.9050000000000006,45371.29892112131,0.0,45371.29892112131,1,45477.532103761216,500.0,50.0,0,0.006138522139138441,0.19027529434378035,-1,0.0,0.0,1111.269999999989,0.23000000000038456,8846.56,0.0,0.858,6027.938714591434,363.99,363.99,0,1387.38,1374.92,0.01,20871.0
3,Ampara,PF,5.0,521441,helped,a,1.3326477057779957,0.0,0.0,0.0,0.0,52153.133146515145,114097.59696869811,354470.98654056026,1.2150000000000007,25613,0,25613.0,1.330734459983804e-06,0.0,1.2150000000000007,39364.141821386125,0.0,39364.141821386125,1,45477.532103761216,500.0,50.0,0,0.005920954814369124,0.09659616472316546,-1,0.0,0.0,231.67000000000067,0.09999999999803015,9508.64,0.0,0.912,316.05072990231037,76.34,76.34,0,364.49,364.49,0.0,12990.0
4,Ampara,PF,5.0,521451,helped,a,1.3326477057779957,0.0,0.0,0.0,0.0,52153.133146515145,115579.38394231752,359074.5058462817,0.6750000000000004,58997,0,58997.0,1.330734459983804e-06,0.0,0.6750000000000004,58813.00855410599,0.0,58813.00855410599,1,45477.532103761216,500.0,50.0,0,0.005882877539578337,0.3282151805498294,-1,0.0,0.0,4320.279999999981,0.5399999999994947,9632.14,0.0,0.859,5832.785784557338,1408.82,1408.82,0,4363.19,4334.65,0.01,32935.0
5,Ampara,PF,5.0,521471,helped,a,7.995886234667974,0.0,720.0,720.0,2.7877594928468792e-08,52153.133146515145,49717.95779459116,152220.96471851468,1.1150000000000009,11880,0,11880.0,1.330734459983804e-06,0.0,0.192,4290.425690829945,0.0,4290.425690829945,2,45477.532103761216,500.0,50.0,0,0.008969605760501797,0.0,-1,3.87283236994221,3.87283236994221,8313.570000000002,1561.7199999999812,4143.38,0.0,10.0,66720.71317883876,2685.9,2685.9,0,4288.02,0.0,82.47,0.0
6,Ampara,PF,5.0,521481,helped,a,5.330590823111983,0.0,1050.0,1050.0,4.065482593735031e-08,52153.133146515145,115980.86811557523,357055.80042100244,0.7550000000000004,49825,0,49825.0,1.330734459983804e-06,0.0,0.7550000000000004,53655.63418751024,0.0,53655.63418751024,1,45477.532103761216,500.0,50.0,0,0.005872686506321973,0.25739257003704796,-1,0.0,0.0,2676.5400000000027,0.40999999999951364,9665.59,0.0,0.866,14476.605333774613,874.15,874.15,0,2924.55,2903.27,0.0,27901.0
7,Ampara,PF,5.0,522211,helped,a,6.195368639664273,0.0,75.0,0.0,0.0,52153.133146515145,284422.00113435223,883390.4708798284,1.1150000000000009,74270,0,74270.0,1.330734459983804e-06,0.0,1.1150000000000009,106717.17881749503,0.0,106717.17881749503,1,45477.532103761216,500.0,50.0,0,0.0037501479504966095,0.12300706611442581,-1,0.0,0.0,989.5599999999956,0.2999999999982741,23703.11,0.0,0.868,6263.827463132536,325.44,325.44,0,1452.76,1436.67,0.01,40553.0
8,Ampara,PF,5.0,522221,helped,a,6.195368639664273,1.0,10000.0,0.0,0.0,52153.133146515145,129672.37951033609,371752.8468531203,0.7950000000000005,48359,0,48359.0,1.330734459983804e-06,0.0,0.7950000000000005,54011.46774245206,0.0,54011.46774245206,1,45477.532103761216,500.0,50.0,0,0.005554004860953645,0.21062508908655395,-1,0.0,0.0,2224.999999999984,0.36999999999943745,10806.57,0.0,0.897,13997.44418233898,727.25,727.25,0,2523.43,2503.71,0.01,26466.0
9,Ampara,PF,5.0,522231,helped,a,7.744210799580341,0.0,94080.0,2880.0,1.1151037971387515e-07,52153.133146515145,100713.4562502218,20255.484945174856,1.1150000000000009,1694,0,1694.0,1.330734459983804e-06,0.0,1.1150000000000009,2435.9859540096477,0.0,2435.9859540096477,1,45477.532103761216,500.0,50.0,0,0.006302113864059151,0.0,-1,0.0,0.0,22.589999999999662,6236.49,8392.82,0.0,10.0,178.73638525431164,7.55,7.55,0,33.28,0.0,0.63,0.0
