,region,hazard,rp,level_0,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcsoc,c,pov_line,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,ARMM,EQ,1,0,153829114,helped,a,Maguindanao,0.9376180350922879,0,822.4791037502216,243302.09000000003,22302.6775,760591.1790441403,142353.59305945708,16275.762792237392,158629.35585169448,0.21869459692111673,45382.916632273256,5188.780435057305,50571.69706733056,164515.43895367137,5188.780435057305,169704.21938872867,0.8368775228008457,1,15573.959716184301,0,0,0.0,0.004054684583948997,0.0,-1,0.0,0.0,True,121154.42563628015,231219.0687966315,261405.04988353286,0.0,39252.395858537406,4363.763925979353,43616.159784516756,146655.74496994505,0.0,2803.076626167786,3.2818867511375562e-06
1,ARMM,EQ,1,1,153893114,helped,a,Maguindanao,0.7552823003862174,0,0.0,98041.71900000001,22302.6775,307529.6367150249,25201.950223118558,2881.4233270665027,28083.37355018506,0.10152369391108236,8034.485874012259,918.6096636731029,8953.095537685362,63102.87577199069,918.6096636731029,64021.485435663795,2.185084464116687,1,15573.959716184301,0,0,0.0,0.006387406222212573,0.0,-1,0.0,0.0,True,16542.009575851705,95253.83562565433,105336.55385202407,0.0,5500.431976142508,772.5506528102768,6272.982628952785,43972.959630500685,0.0,829.6752221618589,3.2818867511375562e-06
2,ARMM,EQ,1,2,156627419,helped,a,Sulu,1.6402678738822034,0,0.0,116599.21000000002,22302.6775,365739.33074917726,29296.48035569665,3349.5646626749062,32646.04501837156,0.12101382355727948,9339.839000245256,1067.8550559815367,10407.694056226792,74980.0473296822,1067.8550559815367,76047.90238566374,2.240549292354613,1,15573.959716184301,0,0,0.0,0.00585709396839272,0.0,-1,0.0,0.0,True,19025.1600906555,120551.90574151263,132469.79121574652,0.0,6332.87585876745,898.066015663935,7230.941874431385,51738.27124949252,0.0,975.6721831782852,3.2818867511375562e-06
3,ARMM,EQ,1,3,156642019,helped,a,Sulu,0.6923660802935437,1,0.0,21066.311000000005,22302.6775,66079.16542911425,25926.07591005482,2964.2150407074646,28890.290950762286,0.013510833412757946,8265.340135336915,945.0040041048755,9210.344139441791,8265.340135336915,945.0040041048755,9210.344139441791,0.0,3,15573.959716184301,0,0,0.0,0.013779572685382052,0.011420716391038064,-1,0.1926782273603083,0.1926782273603083,False,25926.07591005482,11257.863631629498,12574.005061753056,2302.586034860448,8265.340135336915,794.7482909774266,9060.088426314342,9060.088426314342,2302.586034860448,130.20235821683804,3.2818867511375562e-06
4,ARMM,EQ,1,4,157025015,helped,a,Tawi-tawi,2.7115561747025616,0,1370.7984756648525,26179.943,22302.6775,77819.39444349539,13269.616959653575,1517.1597241593054,14786.776683812881,0.02289994548280446,4230.413575047091,483.6767894730768,4714.090364520168,10122.306494342622,483.6767894730768,10605.983283815698,0.5157497871243407,2,15573.959716184301,0,0,0.0,0.012360773468492348,0.0,-1,0.1926782273603083,0.0,True,12100.302918621785,46572.084324607895,48606.252784684366,0.0,3896.1568610313525,406.77214080514716,4302.9290018365,10605.983283815698,0.0,203.3421886563679,3.2818867511375562e-06
5,ARMM,EQ,1,5,157260118,helped,a,Basilan,2.340994052994802,0,0.0,23040.299000000003,22302.6775,72271.01741530614,14563.13087169611,1665.051499480144,16228.182371176254,0.02036053574841792,4642.786301621201,530.8252985836085,5173.61160020481,6935.513985232092,530.8252985836085,7466.339283815701,0.1773203178807486,2,15573.959716184301,0,0,0.0,0.013176071421869688,0.014448283202931208,-1,0.1926782273603083,0.1926782273603083,True,14101.244346220734,6652.210119462885,7487.9830212591705,3116.7645208221643,4510.92057562996,446.42403315159504,4957.344608781555,7466.339283815702,3116.7645208221643,83.5613606331409,3.2818867511375562e-06
6,ARMM,EQ,1,6,157260240,helped,a,Basilan,2.340994052994802,1,0.0,18463.852000000006,22302.6775,57915.97450387407,22714.19543824295,2596.989995292591,25311.185433535542,0.011845420969754945,7241.379368359613,827.9311421299814,8069.310510489595,7241.379368359613,827.9311421299814,8069.310510489595,0.0,3,15573.959716184301,0,0,0.0,0.014718679224862093,0.011415746336167184,-1,0.1926782273603083,0.1926782273603083,False,22714.19543824295,14740.498456294552,15893.588264003305,2017.3276276223987,7241.379368359613,696.2900235307021,7937.669391890316,7937.669391890316,2017.3276276223987,114.07209565063422,3.2818867511375562e-06
7,ARMM,EQ,1,7,157260362,helped,a,Basilan,1.3770553526910434,0,0.0,25606.150000000012,22302.6775,80319.37921417347,24862.19242255012,2842.577680462033,27704.770103012153,0.01911505063677257,7926.1696831982445,906.2255110124021,8832.395194210647,9125.964772803309,906.2255110124021,10032.190283815711,0.057454770122160936,2,15573.959716184301,0,0,0.0,0.012498498805629702,0.023118896213298493,-1,0.1926782273603083,0.1926782273603083,True,24610.176947265314,7394.7397403609375,8321.868370777878,5215.383132181296,7854.516469358841,762.1355814248192,8616.652050783661,10032.190283815711,5215.383132181296,92.70243238447212,3.2818867511375562e-06
8,ARMM,EQ,1,8,157260484,helped,a,Basilan,1.6524663300693085,0,0.0,25441.725000000002,22302.6775,79803.62366610041,31441.040521313185,3594.759404859443,35035.79992617263,0.01626428918019459,10023.533643083232,1146.024153016598,11169.55779609983,10023.533643083232,1146.024153016598,11169.55779609983,0.0,3,15573.959716184301,0,0,0.0,0.012538821464144603,0.011472552165127225,-1,0.1926782273603083,0.0,True,31441.040521313185,6672.3189763462415,8268.42835496533,2792.3894490249577,10023.533643083232,963.8062199445603,10987.339863027792,10987.339863027792,2792.3894490249577,157.89885190756902,3.2818867511375562e-06
9,ARMM,EQ,1,9,157640114,helped,a,Basilan,0.9277003579106523,0,0.0,32336.271000000008,22302.6775,101429.89917739606,7821.67334262669,894.2780946160409,8715.951437242731,0.03368326470018698,2493.5817833980313,285.09955201959286,2778.6813354176243,16477.211731796117,285.09955201959286,16762.31128381571,2.339470086141608,2,15573.959716184301,0,0,0.0,0.011122054727009101,0.0,-1,0.0,0.0,True,5185.570773694844,7425.232266334654,10509.132972081814,0.0,1729.4060783549742,239.76870017669836,1969.1747785316725,14660.019647697367,0.0,276.19494495814723,3.2818867511375562e-06
