,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,26060,0,26060.0,1.8868856577477276e-05,0.0,1.0350000000000006,35360.309891464625,0.0,35360.309891464625,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.007508117252901559,-1,0.0,0.0,23586.860000000004,6564.139999999999,7996.75,13437.0,0.935,128264.46316208762,7745.08,7745.08,0,32649.21,13437.0,363.95,13437.0
1,Ampara,PF,10,521411,helped,a,2,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,44754,0,44754.0,2.367464449342712e-05,0.0,0.7150000000000004,46404.556871934285,0.0,46404.556871934285,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.015290503371487652,-1,0.0,0.0,41775.01,6561.18,7996.77,24594.0,0.888,274499.4144487549,13633.1,13633.1,0,43916.57,24594.0,366.5,24594.0
2,Ampara,PF,25,521411,helped,a,2,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,26751,0,26751.0,2.6751235242038047e-05,0.0,1.0350000000000006,36297.91442465733,0.0,36297.91442465733,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.007961206220561887,-1,0.0,0.0,24212.300000000003,6547.4400000000005,7996.78,14156.0,0.91,186713.7394513468,7950.45,7950.45,0,33514.94,14156.0,366.61,14156.0
3,Ampara,PF,50,521411,helped,a,2,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,45815,0,45815.0,2.9431878090223966e-05,0.0,0.7150000000000004,47504.68724779169,0.0,47504.68724779169,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.015746989245908328,-1,0.0,0.0,42765.39000000001,6514.92,7996.79,25177.0,0.888,347788.0622418046,13956.3,13956.3,0,44957.71,25177.0,375.19,25177.0
4,Ampara,PF,100,521411,helped,a,2,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,45031,0,45031.0,3.0679530322931554e-05,0.0,0.7150000000000004,46691.77281360488,0.0,46691.77281360488,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.0154097597284382,-1,0.0,0.0,42033.56999999999,6549.1799999999985,7996.8,24747.0,0.888,367185.76792955515,13717.48,13717.48,0,44188.38,24747.0,368.76,24747.0
5,Ampara,PF,250,521411,helped,a,2,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,28362,0,28362.0,3.2727691864786775e-05,0.0,0.9650000000000006,36498.50916123252,0.0,36498.50916123252,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.008243350661298913,-1,0.0,0.0,25844.11,6560.609999999999,7996.81,14599.0,0.95,242146.8471728912,8474.84,8474.84,0,33882.46,14599.0,365.52,14599.0
6,Ampara,PF,500,521411,helped,a,2,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7950000000000005,40144,0,40144.0,3.6990538389706396e-05,0.0,0.7950000000000005,44836.05704846338,0.0,44836.05704846338,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.01363484218687877,-1,0.0,0.0,37184.17,6513.43,7996.82,22418.0,0.872,389070.8334009574,12153.61,12153.61,0,42171.33,22418.0,374.41,22418.0
7,Ampara,PF,1000,521411,helped,a,2,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,30602,0,30602.0,4.0202555178017896e-05,0.0,0.9650000000000006,39381.121830337695,0.0,39381.121830337695,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.00950722968197322,-1,0.0,0.0,27885.269999999997,6482.41,7996.83,16540.0,0.899,310814.88868583424,9144.18,9144.18,0,36558.48,16540.0,379.2,16540.0
8,Ampara,PF,5,521421,helped,a,2,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20918,0,20918.0,1.8868856577477276e-05,0.0,1.0350000000000006,28383.229559081232,0.0,28383.229559081232,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.007718745570643534,-1,0.0,0.0,18932.870000000003,5214.5,6262.73,10786.0,0.935,128695.25485945742,6216.87,6216.87,0,26207.09,10786.0,292.13,10786.0
9,Ampara,PF,10,521421,helped,a,2,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.6450000000000004,39881,0,39881.0,2.367464449342712e-05,0.0,0.45,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.013639712946539775,-1,0.0,0.0,38236.86,5614.33,6262.75,17562.0,1.243,312463.6476253657,12414.88,12414.88,0,29771.3,17562.0,232.77,17562.0
